Cocktail Name,Ingredients,Preparation
Imperial Fizz,"Carbonated water, Powdered sugar, Lemon, Blended whiskey, Light rum, ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Irish Russian,"Guinness stout, Coca-Cola, Kahlua, Vodka, ",Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.
Imperial Cocktail,"Aperol, Gin, Lime juice, ",Shake with ice and strain into cocktail glass.
Iced Coffee Fillip,"Coffee, Kahlua, ",Mix together in a coffee mug and chill before serving.
Irish Curdling Cow,"Orange juice, Vodka, Bourbon, Baileys irish cream, ","Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice."
Jitterbug,"Soda water, Sugar syrup, Sugar, Lime juice, Grenadine, Vodka, Gin, ","Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!"
Jam Donut,"Sugar, Sugar syrup, Chambord raspberry liqueur, Baileys irish cream, ","Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve."
Jelly Bean,"Anis, Blackberry brandy, ",mix equal parts in pony glass-tastes just like a jelly bean!
Jackhammer,"Amaretto, Jack Daniels, ","Serve over ice- Warning,Deadly!"
Jello shots,"Water, Jello, Vodka, ","Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away..."
John Collins,"Orange, Maraschino cherry, Club soda, Sugar, Lemon juice, Bourbon, ",Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.
Jamaica Kiss,"Milk, Ice, Light rum, Coffee liqueur, ",Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.
Japanese Fizz,"Carbonated water, Egg white, Port, Powdered sugar, Lemon, Blended whiskey, ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Just a Moonmint,"Mint syrup, Chocolate syrup, Milk, ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Jamaican Coffee,"Whipped cream, Water, Coffee, Rum, ","Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw."
Jewel Of The Nile,"Yellow Chartreuse, Green Chartreuse, Gin, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
Jack Rose Cocktail,"Lime, Grenadine, Apple brandy, ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Jack's Vanilla Coke,"Coca-Cola, Vanilla extract, Tennessee whiskey, Ice, ","After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom."
Kir,"Champagne, Creme de Cassis, ","Add the crème de cassis to the bottom of the glass, then top up with wine."
Karsk,"Grain alcohol, Coffee, ","Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality."
Kamikaze,"Lime juice, Triple sec, Vodka, ","Shake all ingredients together with ice. Strain into glass, garnish and serve."
Kir Royale,"Champagne, Creme de Cassis, ","Pour Creme de cassis in glass, gently pour champagne on top"
Kurant Tea,"Sugar, Tea, Absolut Kurant, ","Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!"
Kiwi Lemon,"Ice, Bitter lemon, Kiwi liqueur, ",Mix in highball glass. Stirr. Garnish with slice of kiwi.
Kioki Coffee,"Coffee, Brandy, Kahlua, ",Stir. Add whipped cream to the top.
Kool-Aid Shot,"Cranberry juice, Triple sec, Sloe gin, Amaretto, Vodka, ",Pour into a large glass with ice and stir. Add a little cranberry juice to taste.
Kiss me Quick,"Ice, Apple juice, Schweppes Russchian, Apfelkorn, Cranberry vodka, ",mix in the glass
Kool First Aid,"Kool-Aid, 151 proof rum, ","Add Kool Aid to a double shot glass, and top with rum. Slam and shoot."
Kentucky B And B,"Benedictine, Bourbon, ",Pour the bourbon and Benedictine into a brandy snifter.
Kentucky Colonel,"Lemon peel, Benedictine, Bourbon, ",In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.
Kool-Aid Slammer,"Vodka, Kool-Aid, ","Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid."
Kiwi Papaya Smoothie,"Papaya, Kiwi, ",Throw everything into a blender and liquify.
Kill the cold Smoothie,"Water, Lemon, Ginger, ",Juice ginger and lemon and add it to hot water. You may add cardomom.
Limeade,"Lime peel, Soda water, Sugar, Lime, ","In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out."
Lunch Box,"Orange juice, Amaretto, Beer, ",Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.
Lemon Shot,"151 proof rum, Sugar, Lemon, Absolut Citron, Galliano, ","Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade."
Long vodka,"Ice, Tonic water, Angostura bitters, Lime, Vodka, ","Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka"
Lemon Drop,"Lemon, Cointreau, Absolut Vodka, ",Shake and strain into a chilled cocktail glass rimmed with sugar.
Loch Lomond,"Lemon peel, Dry Vermouth, Drambuie, Scotch, ","In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist."
London Town,"Orange bitters, Maraschino liqueur, Gin, ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
Lassi Khara,"Asafoetida, Salt, Water, Yoghurt, ",Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.
Lassi Raita,"Salt, Lime, Sugar, Ice, Yoghurt, ","Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead."
Lemouroudji,"Cayenne pepper, Sugar, Lemon, Water, Ginger, ","Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve."
Lord And Lady,"Tia maria, Dark rum, ",Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.
Lassi - Sweet,"Lemon juice, Salt, Sugar, Water, Yoghurt, ",Put all ingredients into a blender and blend until nice and frothy. Serve chilled.
Lassi - Mango,"Water, Sugar, Yoghurt, Mango, ",Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.
Limona Corona,"Bacardi Limon, Corona, ","Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink."
Lady Love Fizz,"Carbonated water, Egg white, Lemon, Powdered sugar, Light cream, Gin, ","Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve."
Long Island Tea,"Coca-Cola, Lemon, Tequila, Gin, Light rum, Vodka, ",Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.
Lone Tree Cooler,"Lemon peel, Orange spiral, Powdered sugar, Dry Vermouth, Gin, Carbonated water, ","Stir powdered sugar and 2 oz. carbonated water in a collins glass. Fill glass with ice, add gin and vermouth, and stir. Fill with carbonated water and stir again. Add the twist of lemon peel and the orange spiral so that the end dangles over rim of glass."
Lone Tree Cocktail,"Gin, Sweet Vermouth, ","Stir ingredients with ice, strain into a cocktail glass, and serve."
Lazy Coconut Paloma,"Soda Water, Grapefruit Juice, Coconut Liqueur, ",Mix the coconut liqueur (preferably tequila) with the grapefruit juice and top with soda water. Garnish with a large grapefruit slice against the inside of the glass.
Long Island Iced Tea,"Lemon peel, Coca-Cola, Gin, Light rum, Tequila, Vodka, ",Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
Lassi - A South Indian Drink,"Mint, Salt, Cumin seed, Water, Yoghurt, ","Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold."
Melya,"Cocoa powder, Honey, Espresso, ","Brew espresso. In a coffee mug, place 1 teaspoon of unsweetened powdered cocoa, then cover a teaspoon with honey and drizzle it into the cup. Stir while the coffee brews, this is the fun part. The cocoa seems to coat the honey without mixing, so you get a dusty, sticky mass that looks as though it will never mix. Then all at once, presto! It looks like dark chocolate sauce. Pour hot espresso over the honey, stirring to dissolve. Serve with cream."
Mojito,"Soda water, Mint, Sugar, Lime, Light rum, ",Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
Mimosa,"Orange juice, Champagne, ","Ensure both ingredients are well chilled, then mix into the glass. Serve cold."
Mai Tai,"Cherry, Sweet and sour, Triple sec, Orgeat syrup, Light rum, ",Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.
Martini,"Olive, Dry Vermouth, Gin, ","Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
Margarita,"Salt, Lime juice, Triple sec, Tequila, ","Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
Manhattan,"Orange peel, Maraschino cherry, Ice, Angostura bitters, Bourbon, Sweet Vermouth, ","Stirred over ice, strained into a chilled glass, garnished, and served up."
Mojito #3,"Angostura bitters, Club soda, Dark rum, Lemon juice, Mint, ","Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
Michelada,"Soy Sauce, Worcestershire Sauce, Hot Sauce, Lime Juice, Tomato Juice, Beer, ","Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
"
Miami Vice,"Daiquiri mix, Pina colada mix, 151 proof rum, ","First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together)."
Mudslinger,"Pepsi Cola, Orange juice, Southern Comfort, ",Add all contents to a large jug or punch bowl. Stir well!
Moranguito,"Grenadine, Tequila, Absinthe, ","first you put rhe absinthe, then put tequila, then put the Granadine syrup."
Mint Julep,"Water, Powdered sugar, Bourbon, Mint, ","In a highball glass gently muddle the mint, sugar and water. Fill the glass with cracked ice, add Bourbon and stir well until the glass is well frosted. Garnish with a mint sprig."
Martinez 2,"Angostura Bitters, Maraschino Liqueur, Sweet Vermouth, Gin, ","Add all ingredients to a mixing glass and fill with ice.

Stir until chilled, and strain into a chilled coupe glass."
Masala Chai,"Milk, Sugar, Black pepper, Cinnamon, Cloves, Cardamom, Ginger, Tea, Water, ",Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.
Mulled Wine,"Brandy, Red wine, Lemon peel, Cinnamon, Cloves, Sugar, Water, ","Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy."
Moscow Mule,"Ginger ale, Lime juice, Vodka, ",Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
Mocha-Berry,"Whipped cream, Cocoa powder, Chambord raspberry liqueur, Coffee, ","pour 6 oz. of coffee in a mug or Irish coffee cup. add coca mix and chambord, mix well and top off with whipped cream."
Munich Mule,"lemon, Cucumber, Ginger Beer, Lime Juice, Gin, ","Fill glass with ice
Pour Gin and Lime Juice
Fill glass with Ginger Beer
Garnish with Cucumer and Lime slice"
Monkey Gland,"Grenadine, Orange juice, Benedictine, Gin, ","Shake well over ice cubes in a shaker, strain into a chilled cocktail glass."
Monkey Wrench,"Bitters, Grapefruit juice, Light rum, ",Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.
Midnight Manx,"Coffee, Heavy cream, Goldschlager, Baileys irish cream, Kahlua, ","Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!"
Mother's Milk,"Milk, Butterscotch schnapps, Goldschlager, ","Shake over ice, strain. Serves two."
Midnight Mint,"Cream, White Creme de Menthe, Baileys irish cream, ","If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass."
Mary Pickford,"Maraschino cherry, Grenadine, Maraschino liqueur, Pineapple juice, Light rum, ",Shake and strain into a chilled large cocktail glass
Negroni,"Sweet Vermouth, Campari, Gin, ","Stir into glass over ice, garnish and serve."
New York Sour,"Cherry, Lemon, Red wine, Sugar, Lemon, Blended whiskey, ","Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve."
Nutty Irishman,"Milk, Frangelico, Baileys irish cream, ",Serve over ice
National Aquarium,"Lemon-lime soda, Sour mix, Blue Curacao, Gin, Vodka, Rum, ",Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.
New York Lemonade,"Club soda, Lemon juice, Grand Marnier, Absolut Citron, ",Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.
Nuked Hot Chocolate,"Milk, Vanilla extract, Sugar, Cocoa powder, ","Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts."
Orgasm,"Light cream, Vodka, Triple sec, Amaretto, Creme de Cacao, ","Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
Old Pal,"Dry Vermouth, Campari, Rye whiskey, ","Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of lemon peel."
Orangeade,"Soda water, Sugar syrup, Orange juice, Lemon juice, ","Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw."
Orange Whip,"Ice, Cream, Vodka, Rum, Orange juice, ",Pour ingredients over ice and stir.
Orange Oasis,"Ginger ale, Orange juice, Gin, Cherry brandy, ","Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve."
Orange Crush,"Orange juice, Triple sec, Vodka, ",Add all ingredients to tumbler-Pour as shot
Old Fashioned,"Water, Sugar, Angostura bitters, Bourbon, ","Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry."
Oreo Mudslide,"Oreo cookie, Vanilla ice-cream, Baileys irish cream, Kahlua, Vodka, ","Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry."
Orange Push-up,"Sour mix, Orange juice, Grenadine, Spiced rum, ",Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!
Oatmeal Cookie,"Goldschlager, Jagermeister, Butterscotch schnapps, Bailey, Kahlua, ","Just mix it all together.
It's meant to be a shot, but it works just fine as a proper adult-sized drink over lots of ice.

Tastes like an oatmeal cookie."
Orange Rosemary Collins,"Orange Peel, Rosemary, Soda Water, Rosemary Syrup, Lemon Juice, Orange Juice, Gin, ",Add the spirits to the bottom of the glass and top equally with the mixer drinks. Garnish with orange slices inside the glass as well as some rosemary on top.
Orange Scented Hot Chocolate,"Nutmeg, Espresso, Orange peel, Chocolate, Milk, ","Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings."
Owen's Grandmother's Revenge,"Ice, Lemonade, Beer, Whiskey, ",Add ingredients and mix in blender.
Paloma,"Tequila, Grape Soda, ",Stir together and serve over ice.
Pink Gin,"Gin, Bitters, ","Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice."
Paradise,"Orange Juice, Apricot Brandy, Gin, ",Shake together over ice. Strain into cocktail glass and serve chilled.
Pink Lady,"Egg white, Light cream, Grenadine, Gin, ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Pegu Club,"Orange Bitters, Angostura Bitters, Lime Juice, Orange Curacao, Gin, ","Shake, strain, up, cocktail glass"
Pisco Sour,"Ice, Sugar, Lemon juice, Pisco, ","Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]"
Porto flip,"Egg Yolk, Port, Brandy, ","Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve."
Penicillin,"Islay single malt Scotch, Ginger Syrup, Honey syrup, Lemon Juice, Blended Scotch, ","Shake blended Scotch, lemon juice, honey syrup and ginger syrup with ice. Strain over large ice in chilled rocks glass. Float smoky Scotch on top (be sure to use a smoky Scotch such as an Islay single malt). Garnish with candied ginger."
Pina Colada,"Pineapple, Coconut milk, Light rum, ","Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
Pink Penocha,"Cranberry juice, Orange juice, Peach schnapps, Vodka, Everclear, ",mix all ingredients into bowl keep iced stir frequently
Pure Passion,"Mint, Peach Bitters, Passion fruit syrup, Lime Juice, Passoa, Rum, ",Mix up all ingredients with a cocktail stirrer and serve with crushed ice with mint and edible flour if available.
Popped cherry,"Orange juice, Cranberry juice, Cherry liqueur, Vodka, ",Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!
Poppy Cocktail,"Creme de Cacao, Gin, ","Shake ingredients with ice, strain into a cocktail glass, and serve."
Port Wine Flip,"Nutmeg, Egg, Powdered sugar, Light cream, Port, ",Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
Planter's Punch,"Pineapple juice, Orange juice, Orgeat syrup, Dark rum, ","Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple."
Pineapple Paloma,"Pepper, Lime, Pineapple Juice, Fresh Lime Juice, Grapefruit Juice, Tequila, ","Rub the rim of each glass with lime slice and dip into salt.
Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda.
Give it a quick stir.
Garnish with fresh pineapple or lime."
Port And Starboard,"Green Creme de Menthe, Grenadine, ","Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing."
Port Wine Cocktail,"Brandy, Port, ","Stir ingredients with ice, strain into a cocktail glass, and serve."
Pysch Vitamin Light,"Ice, Pineapple juice, Apple juice, Orange juice, ",Shake with ice.
Pink Panty Pulldowns,"Vodka, Pink lemonade, Sprite, ",Shake well
Passion Fruit Martini,"Passion fruit juice, Sugar Syrup, Vodka, ",Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.
Pineapple Gingerale Smoothie,"Pineapple, Ginger, ",Throw everything into a blender and liquify.
Quentin,"Nutmeg, Light cream, Kahlua, Dark rum, ","In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg."
Queen Bee,"Sherry, Lime vodka, Coffee brandy, ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Quick F**K,"Baileys irish cream, Midori melon liqueur, Kahlua, ","In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream"
Quick-sand,"Orange juice, Black Sambuca, ","Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!"
Queen Charlotte,"Lemon-lime soda, Grenadine, Red wine, ","Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve."
Queen Elizabeth,"Benedictine, Gin, Dry Vermouth, ","Stir all ingredients with ice, strain into a cocktail glass, and serve."
Quaker's Cocktail,"Raspberry syrup, Lemon, Brandy, Light rum, ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Quarter Deck Cocktail,"Lime, Sherry, Light rum, ","Stir all ingredients with ice, strain into a cocktail glass, and serve."
Rose,"Powdered sugar, Grenadine, Lemon juice, Apricot brandy, Gin, Dry Vermouth, ","Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve."
Radler,"7-Up, Beer, ","Pour beer into large mug, slowly add the 7-up (or Sprite)."
Rum Sour,"Maraschino cherry, Orange, Sugar, Lemon juice, Light rum, ","In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
Rum Toddy,"Water, Lemon peel, Powdered sugar, Rum, ",Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.
Rum Punch,"Ice, Orange juice, Fruit punch, Ginger ale, Rum, ",Mix all ingredients in a punch bowl and serve.
Royal Fizz,"Coca-Cola, Egg, Sweet and sour, Gin, ",Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.
Rum Cooler,"Lemon, Lemon-lime soda, Rum, ",Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.
Rusty Nail,"Lemon peel, Drambuie, Scotch, ",Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
Rum Runner,"Cranberry juice, Pineapple juice, Orange juice, Blackberry brandy, Malibu rum, ",Mix all ingredients in glass & add ice.
Rum Cobbler,"Orange, Maraschino cherry, Dark rum, Lemon, Club soda, Sugar, ","In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices."
Red Snapper,"Cranberry juice, Amaretto, Crown Royal, ","One shot each, shake n shoot"
Royal Flush,"Cranberry juice, Chambord raspberry liqueur, Peach schnapps, Crown Royal, ",Pour all the ingredients into tumbler over ice. Strain into glass.
Royal Bitch,"Crown Royal, Frangelico, ",Into a shot glass layer the Crown Royal on top of the Frangelico.
Ruby Tuesday,"Grenadine, Cranberry juice, Gin, ",Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.
Rail Splitter,"Ginger ale, Lemon juice, Sugar syrup, ",Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.
Rosemary Blue,"Rosemary, Tonic Water, Blue Curacao, Gin, ","1) Add the Bombay Sapphire, Blue Curacao, rosemary sprig and gently squeezed lemon wedge to a balloon glass. Swirl well to combine.
2) Fill with cubed ice and top with the Fever-Tree Light Tonic Water.
3) Gently fold with a bar spoon to mix."
Royal Gin Fizz,"Carbonated water, Egg, Powdered sugar, Lemon, Gin, ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Rum Milk Punch,"Nutmeg, Powdered sugar, Milk, Light rum, ",Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.
Raspberry Julep,"Mint, Raspberry syrup, Bourbon, ","Softly muddle the mint leaves and raspberry syrup in the bottom of the cup. Add crushed ice and Bourbon to the cup and then stir. Top with more ice, garnish with a mint sprig."
Rum Screwdriver,"Orange juice, Light rum, ","Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve."
Raspberry Cooler,"Ice, Lemon-lime soda, Raspberry vodka, ",Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.
Rum Old-fashioned,"Lime peel, Water, Bitters, Powdered sugar, 151 proof rum, Light rum, ","Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve."
Russian Spring Punch,"Lemon Juice, Sugar Syrup, Creme de Cassis, Vodka, ","Pour the ingredients into an highball glass, top with Sparkling wine."
Radioactive Long Island Iced Tea,"Malibu rum, Midori melon liqueur, Chambord raspberry liqueur, Triple sec, Gin, Tequila, Vodka, Rum, ",Pour all ingredients over ice in a very tall glass. Sip cautiously.
Smut,"Orange juice, Pepsi Cola, Peach schnapps, Red wine, ",Throw it all together and serve real cold.
Spritz,"Soda Water, Campari, Prosecco, ","Build into glass over ice, garnish and serve."
Sazerac,"Lemon peel, Bourbon, Water, Peychaud bitters, Sugar, Ricard, ","Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish."
Scooter,"Light cream, Amaretto, Brandy, ","Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve."
Sidecar,"Lemon juice, Cointreau, Cognac, ",Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.
Stinger,"White Creme de Menthe, Brandy, ","Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass."
Snowball,"Ice, Lemon, Lemonade, Advocaat, ",Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.
Shot-gun,"Wild Turkey, Jack Daniels, Jim Beam, ",Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.
Spice 75,"Orange spiral, Champagne, Lime Juice, Rum, Allspice, Sugar, ","Gently warm 60g golden caster sugar in a pan with 30ml water and 1 tbsp allspice. Cook gently until the sugar has dissolved, then leave the mixture to cool. Strain through a sieve lined with a coffee filter (or a double layer of kitchen paper).

Pour 60ml of the spiced syrup into a cocktail shaker along with 200ml rum and 90ml lime juice. Shake with ice and strain between six flute glasses. Top up with 600ml champagne and garnish each with an orange twist."
Salty Dog,"Salt, Gin, Grapefruit juice, ","Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)"
Stone Sour,"Sweet and sour, Orange juice, Apricot brandy, ","Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve."
Sangria #1,"Cinnamon, Cloves, Lemon juice, Orange juice, Sugar, Red wine, ",Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
Sea breeze,"Grapefruit juice, Cranberry juice, Vodka, ",Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.
